pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,pursue,debtor,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/output_touch_edited.mp4,uphold,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361.1622876001056,2380.676699399948,None, debtor,"['d', 'e', 'b', 't', 'o', 'r']","[0.6232817999552935, 0.8466705000028014, 1.3108175999950618, 1.4867779000196606, 2.3109025000594556, 2.4070344001520425]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,strife,tariff,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/delude_TT_3X.mp4,galley,delude,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.368625000119,2390.883643100038,None, tariff,"['t', 'a', 'r', 'i', 'f', 'f', 'return']","[0.7177045000717044, 0.9978261000942439, 1.2219783999025822, 1.3266366000752896, 1.4299023000057787, 2.0298870999831706, 2.1897376000415534]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,sonnet,confer,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/innate_TT_3X.mp4,tamper,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394.1185983000323,2400.6330383000895,None, confer,"['c', 'p', 'n', 'backspace', 'backspace', 'backspace', 'o', 'n', 'f', 'e', 'r', 'return']","[0.6883233999833465, 0.8482553001958877, 0.8802497000433505, 1.7363168001174927, 1.8643539000768214, 2.4083521000575274, 2.6724170001689345, 2.728445600019768, 2.8883663001470268, 2.992355199996382, 3.104284100001678, 3.536841900087893]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,upkeep,kipper,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/meddle_touch_edited.mp4,divert,meddle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405.19674569997,2424.7129325999413,None, kipper,"['k', 'i', 'p', 'p', 'e', 'r', 'return']","[0.7785600000061095, 0.9538797999266535, 1.4342687998432666, 1.5620090998709202, 1.6660860998090357, 1.7461053999140859, 2.2019308998715132]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,fodder,devise,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/mangle_touch_edited.mp4,warble,mangle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427.9465886000544,2447.460655400064,None, devise,"['d', 'e', 'i', 'v', 's', 'e', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'e', 'v', 'i', 's', 'e', 'return']","[0.5813033999875188, 0.7414619999472052, 0.9020108000840992, 0.9654031998943537, 1.0698945000767708, 1.2214249998796731, 1.8135979999788105, 1.9575863000936806, 2.0935106000397354, 2.2214764000382274, 2.605306199984625, 3.2455559000372887, 3.6854469999670982, 4.005841400008649, 4.109761100029573, 4.253460299922153, 4.677570699946955]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,jargon,frugal,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/oppose_TT_3X.mp4,ghetto,oppose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.4199441999663,2474.9368346000556,None, frugal,"['f', 'r', 'u', 'g', 'a', 'l', 'return']","[0.5293300000485033, 0.5934586999937892, 0.7933620000258088, 0.8813640000298619, 1.1537457001395524, 1.2654033000580966, 1.7854553000070155]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,parole,solemn,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/befall_TT_3X.mp4,ration,befall,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477.7531085000373,2484.269111600006,None, solemn,"['s', 'o', 'l', 'e', 'm', 'n', 'return']","[0.6777717000804842, 0.7656473000533879, 1.1176909001078457, 1.2619310999289155, 1.389678900130093, 1.461620599962771, 2.1657036000397056]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,manure,picket,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/parish_touch_edited.mp4,gullet,parish,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487.48159989994,2506.9956857000943,None, picket,"['p', 'i', 'c', 'k', 'e', 't', 'return']","[0.6464915000833571, 0.7908562000375241, 0.9432946001179516, 1.0389257001224905, 1.1988425001036376, 1.2867384001147002, 1.790820199996233]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2509.8317567999475,2516.3487241000403,None, covert,"['c', 'o', 'v', 'e', 'r', 't', 'return']","[0.6854735999368131, 0.8134699000511318, 0.941544400062412, 1.1256516999565065, 1.3175878999754786, 1.7734670001082122, 2.3335059001110494]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,potent,neural,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/septic_TT_3X.mp4,ordain,septic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519.727178900037,2526.243137100013,None, neural,"['n', 'e', 'u', 'r', 'a', 'l', 'return']","[0.6132331001572311, 0.7493257999885827, 0.8372556001413614, 0.9171214001253247, 1.1571790999732912, 1.2370895999483764, 1.7012716999743134]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,brazen,piston,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/caviar_touch_edited.mp4,shrill,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.976595300017,2548.49068180006,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[1.072145399870351, 1.1528686999808997, 1.2406428998801857, 1.4721748000010848, 1.5361955999396741, 1.6243582000024617, 2.1528208998497576]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,binder,forage,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/campus_touch_edited.mp4,allure,campus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2551.6804331000894,2571.196783200139,None, forage,"['f', 'o', 'r', 'a', 'g', 'e', 'return']","[0.6627096999436617, 0.8632316999137402, 0.99892139993608, 1.2469927000347525, 1.3270088999997824, 1.4468455999158323, 1.750551600009203]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,convoy,plasma,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/jailer_touch_edited.mp4,nettle,jailer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573.9915678000543,2593.506710899994,None, plasma,"['p', 'l', 's', 'backspace', 'a', 's', 'm', 'a', 'return']","[0.6248605998698622, 0.7693048999644816, 1.049374100053683, 1.6567766999360174, 1.8415156998671591, 1.9771008999086916, 2.081233900040388, 2.120851199841127, 2.6729756998829544]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,revolt,virile,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/joiner_TT_3X.mp4,apathy,joiner,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597.2175414001103,2603.7343357999343,None, virile,"['v', 'i', 'r', 'i', 'l', 'e', 'return']","[0.7885191000532359, 0.9560682999435812, 1.1004262999631464, 1.1643371998798102, 1.3560480999294668, 1.396441400051117, 1.8042031999211758]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,legion,subdue,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/feudal_touch_edited.mp4,matron,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2606.569226300111,2626.085804700153,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.7331091999076307, 0.8051721998490393, 0.9251788998953998, 1.0771509998012334, 1.1811483998317271, 1.2451712999027222, 1.6054289999883622]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[2.439506300026551],,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2'],[4.259026799816638],,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,goblet,botany,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/trench_touch_edited.mp4,ethnic,trench,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,27,,,,,,,,,,,,,,,,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[1.2155532999895513, 1.2871962999925017, 1.5270690000616014, 1.655167100019753, 1.8232107001822442, 1.9672034999821335, 2.119312500115484]",,,,,,,,,,,,,,,,,,,,,None,None, trench,"['t', 'r', 'e', 'n', 'c', 'h', 'return']","[0.6483271000906825, 1.096337600145489, 1.2722766001243144, 1.440314400009811, 1.544348900206387, 1.600604800041765, 2.112269200151786]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,fodder,devise,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/mangle_touch_edited.mp4,warble,mangle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, mangle,"['m', 'a', 'n', 'l', 'g', 'l', 'e', 'return']","[0.6484224000014365, 0.7606690998654813, 0.8727964998688549, 1.1527199998963624, 1.7846152998972684, 1.9285476000513881, 2.0326813999563456, 2.7688954998739064]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,19,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, cobble,"['c', 'o', 'b', 'b', 'l', 'e', 'return']","[0.7118602998089045, 0.8558439998887479, 1.0879332998301834, 1.1918331999331713, 1.3358137998729944, 1.4401059998199344, 1.688132399925962]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,quarry,covert,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/patent_TT_3X.mp4,defame,patent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, patent,"['p', 'a', 't', 'w', 'backspace', 'e', 'n', 't', 'return']","[0.671695499913767, 0.7756527999881655, 1.0557614997960627, 1.2636355999857187, 1.919568299781531, 2.0797205998096615, 2.2236844999715686, 2.263660999946296, 2.63969219988212]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,ascend,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/metric_TT_3X.mp4,eatery,metric,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[0.7354594999924302, 0.8629389998968691, 1.063077700091526, 1.2152136000804603, 1.3431492000818253, 1.4233120998833328, 1.911050499882549]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,musket,subtle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fungal_touch_edited.mp4,mucous,fungal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,22,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, fungal,"['f', 'u', 'n', 'g', 'a', 'l', 'return']","[0.44122270005755126, 0.7056509000249207, 0.8095606998540461, 0.9371692999266088, 1.2495158000383526, 1.401290399953723, 1.7376172000076622]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,brazen,piston,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/caviar_touch_edited.mp4,shrill,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,20,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, caviar,"['c', 'a', 'v', 'i', 'a', 'r', 'return']","[0.5259637001436204, 0.6859224000945687, 0.958223800174892, 1.1178774000145495, 1.2139389000367373, 1.4299262000713497, 1.5740575001109391]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,potent,neural,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/septic_TT_3X.mp4,ordain,septic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, septic,"['s', 'e', 'p', 't', 'i', 'c', 'return']","[0.6241285998839885, 0.832167400047183, 0.936303700087592, 1.0643609000835568, 1.1921466998755932, 1.3444014999549836, 1.784131099935621]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,legion,subdue,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/feudal_touch_edited.mp4,matron,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,26,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, feudal,"['f', 'e', 'u', 'd', 'a', 'l', 'return']","[0.49004970001988113, 0.5058509998489171, 1.2661882999818772, 1.4260096999350935, 1.6259105999488384, 1.7142721998970956, 2.001885599922389]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,revolt,virile,6.5,7.5,video&audio/sentence6_TT_3X.mp4,video&audio/joiner_TT_3X.mp4,apathy,joiner,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, joiner,"['j', 'o', 'i', 'n', 'e', 'r', 'return']","[0.4052873000036925, 0.5900354001205415, 0.9256484000943601, 1.0297260000370443, 1.1333125000819564, 1.2458023999352008, 1.7976313000544906]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,strife,tariff,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/delude_TT_3X.mp4,galley,delude,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, delude,"['d', 'e', 'l', 'u', 'd', 'e', 'return']","[0.6536870000418276, 0.8377557001076639, 0.9417069000191987, 1.1496557001955807, 1.245940500171855, 1.3897208000998944, 1.5097098001278937]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,upkeep,kipper,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/meddle_touch_edited.mp4,divert,meddle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,25,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, meddle,"['m', 'e', 'd', 'd', 'l', 'e', 'return']","[0.786688799969852, 0.9232457999605685, 1.131192599888891, 1.274637599941343, 1.338642300106585, 1.426955800037831, 1.6988389000762254]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,21,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, induce,"['i', 'n', 'd', 'u', 'c', 'e', 'return']","[0.8235917000565678, 0.9194398000836372, 1.055770100094378, 1.1433429999742657, 1.263570300070569, 1.471677100053057, 1.615627400111407]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,infirm,pulpit,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/oblige_TT_3X.mp4,mystic,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,3,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.7441450001206249, 0.9600581999402493, 1.2004048000089824, 1.368169300025329, 1.7841603001579642, 2.2400066000409424, 2.4401217999402434]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,murmur,ritual,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/clergy_touch_edited.mp4,portal,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,17,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, clergy,"['c', 'l', 'e', 'r', 'g', 'y', 'return']","[0.5748912999406457, 0.6789114000275731, 0.8788922999519855, 1.0388404000550508, 1.2629052000120282, 1.358809099998325, 1.6632580999284983]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,coerce,falter,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/tandem_touch_edited.mp4,origin,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, tandem,"['t', 'a', 'n', 'd', 'e', 'm', 'return']","[0.6355368001386523, 1.0201713999267668, 1.3156014000996947, 1.4112357001286, 1.5795386000536382, 1.659270599950105, 2.1712599999736995]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,parole,solemn,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/befall_TT_3X.mp4,ration,befall,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None, befall,"['b', 'e', 'f', 'a', 'l', 'l', 'return']","[1.1220331001095474, 1.2901218999177217, 1.4416368000674993, 1.6578341000713408, 1.7701215001288801, 1.8824551000725478, 2.129762399941683]",,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
