participantID,Trial,Number,Speed,Adjacency_combined,R,RNG,NSQ,RNG2,Coupon,TPI,Repetition gap (mean)
Eve,3,3,Slow,,,,,,,,
Eve,3,4,Slow,,,,,,,,
Eve,3,2,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,4,1,slow,,,,,,,,
Eve,4,5,slow,,,,,,,,
Eve,4,3,slow,,,,,,,,
Eve,4,6,slow,,,,,,,,
Eve,4,10,slow,,,,,,,,
Eve,4,7,slow,,,,,,,,
Eve,4,9,slow,,,,,,,,
Eve,4,2,slow,,,,,,,,
Eve,4,4,slow,,,,,,,,
Eve,4,6,slow,,,,,,,,
Eve,4,8,slow,,,,,,,,
Eve,4,9,slow,,,,,,,,
Eve,4,3,slow,,,,,,,,
Eve,4,1,slow,,,,,,,,
Eve,4,5,slow,,,,,,,,
Eve,4,4,slow,,,,,,,,
Eve,4,7,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,5,8,slow,,,,,,,,
Eve,5,6,slow,,,,,,,,
Eve,5,10,slow,,,,,,,,
Eve,5,3,slow,,,,,,,,
Eve,5,7,slow,,,,,,,,
Eve,5,4,slow,,,,,,,,
Eve,5,2,slow,,,,,,,,
Eve,5,9,slow,,,,,,,,
Eve,5,1,slow,,,,,,,,
Eve,5,5,slow,,,,,,,,
Eve,5,6,slow,,,,,,,,
Eve,5,8,slow,,,,,,,,
Eve,5,3,slow,,,,,,,,
Eve,5,4,slow,,,,,,,,
Eve,5,2,slow,,,,,,,,
Eve,5,10,slow,,,,,,,,
Eve,5,7,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,6,1,fast,,,,,,,,
Eve,6,5,fast,,,,,,,,
Eve,6,3,fast,,,,,,,,
Eve,6,7,fast,,,,,,,,
Eve,6,6,fast,,,,,,,,
Eve,6,8,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,7,1,Slow,,,,,,,,
Eve,7,7,Slow,,,,,,,,
Eve,7,3,Slow,,,,,,,,
Eve,7,2,Slow,,,,,,,,
Eve,7,6,Slow,,,,,,,,
Eve,7,8,Slow,,,,,,,,
Eve,7,4,Slow,,,,,,,,
Eve,7,10,Slow,,,,,,,,
Eve,7,5,Slow,,,,,,,,
Eve,7,4,Slow,,,,,,,,
Eve,7,9,Slow,,,,,,,,
Eve,7,6,Slow,,,,,,,,
Eve,7,1,Slow,,,,,,,,
Eve,7,3,Slow,,,,,,,,
Eve,7,2,Slow,,,,,,,,
Eve,7,4,Slow,,,,,,,,
Eve,7,10,Slow,,,,,,,,
Eve,7,9,Slow,,,,,,,,
Eve,7,8,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,8,6,fast,,,,,,,,
Eve,8,7,fast,,,,,,,,
Eve,8,5,fast,,,,,,,,
Eve,8,10,fast,,,,,,,,
Eve,8,2,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,9,4,slow,,,,,,,,
Eve,9,7,slow,,,,,,,,
Eve,9,8,slow,,,,,,,,
Eve,9,3,slow,,,,,,,,
Eve,9,6,slow,,,,,,,,
Eve,9,10,slow,,,,,,,,
Eve,9,9,slow,,,,,,,,
Eve,9,2,slow,,,,,,,,
Eve,9,4,slow,,,,,,,,
Eve,9,1,slow,,,,,,,,
Eve,9,5,slow,,,,,,,,
Eve,9,7,slow,,,,,,,,
Eve,9,6,slow,,,,,,,,
Eve,9,2,slow,,,,,,,,
Eve,9,8,slow,,,,,,,,
Eve,9,3,slow,,,,,,,,
Eve,9,10,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,10,5,fast,,,,,,,,
Eve,10,3,fast,,,,,,,,
Eve,10,2,fast,,,,,,,,
Eve,10,4,fast,,,,,,,,
Eve,10,2,fast,,,,,,,,
Eve,10,7,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,11,10,Slow,,,,,,,,
Eve,11,8,Slow,,,,,,,,
Eve,11,1,Slow,,,,,,,,
Eve,11,5,Slow,,,,,,,,
Eve,11,9,Slow,,,,,,,,
Eve,11,3,Slow,,,,,,,,
Eve,11,4,Slow,,,,,,,,
Eve,11,6,Slow,,,,,,,,
Eve,11,3,Slow,,,,,,,,
Eve,11,7,Slow,,,,,,,,
Eve,11,9,Slow,,,,,,,,
Eve,11,8,Slow,,,,,,,,
Eve,11,2,Slow,,,,,,,,
Eve,11,1,Slow,,,,,,,,
Eve,11,4,Slow,,,,,,,,
Eve,11,6,Slow,,,,,,,,
Eve,11,5,Slow,,,,,,,,
Eve,11,9,Slow,,,,,,,,
Eve,11,1,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,12,3,fast,,,,,,,,
Eve,12,2,fast,,,,,,,,
Eve,12,5,fast,,,,,,,,
Eve,12,7,fast,,,,,,,,
Eve,12,8,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,13,10,slow,,,,,,,,
Eve,13,2,slow,,,,,,,,
Eve,13,9,slow,,,,,,,,
Eve,13,7,slow,,,,,,,,
Eve,13,4,slow,,,,,,,,
Eve,13,3,slow,,,,,,,,
Eve,13,6,slow,,,,,,,,
Eve,13,1,slow,,,,,,,,
Eve,13,8,slow,,,,,,,,
Eve,13,2,slow,,,,,,,,
Eve,13,4,slow,,,,,,,,
Eve,13,2,slow,,,,,,,,
Eve,13,3,slow,,,,,,,,
Eve,13,5,slow,,,,,,,,
Eve,13,7,slow,,,,,,,,
Eve,13,10,slow,,,,,,,,
Eve,13,9,slow,,,,,,,,
Eve,13,7,slow,,,,,,,,
Eve,13,1,slow,,,,,,,,
Eve,13,8,slow,,,,,,,,
Eve,13,4,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,14,6,Slow,,,,,,,,
Eve,14,8,Slow,,,,,,,,
Eve,14,2,Slow,,,,,,,,
Eve,14,3,Slow,,,,,,,,
Eve,14,7,Slow,,,,,,,,
Eve,14,1,Slow,,,,,,,,
Eve,14,4,Slow,,,,,,,,
Eve,14,9,Slow,,,,,,,,
Eve,14,10,Slow,,,,,,,,
Eve,14,4,Slow,,,,,,,,
Eve,14,5,Slow,,,,,,,,
Eve,14,7,Slow,,,,,,,,
Eve,14,3,Slow,,,,,,,,
Eve,14,6,Slow,,,,,,,,
Eve,14,1,Slow,,,,,,,,
Eve,14,2,Slow,,,,,,,,
Eve,14,8,Slow,,,,,,,,
Eve,14,3,Slow,,,,,,,,
Eve,14,2,Slow,,,,,,,,
Eve,14,9,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,15,3,fast,,,,,,,,
Eve,15,7,fast,,,,,,,,
Eve,15,6,fast,,,,,,,,
Eve,15,5,fast,,,,,,,,
Eve,15,1,fast,,,,,,,,
Eve,15,2,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,16,10,fast,,,,,,,,
Eve,16,2,fast,,,,,,,,
Eve,16,9,fast,,,,,,,,
Eve,16,1,fast,,,,,,,,
Eve,16,9,fast,,,,,,,,
Eve,16,6,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,17,4,fast,,,,,,,,
Eve,17,7,fast,,,,,,,,
Eve,17,3,fast,,,,,,,,
Eve,17,2,fast,,,,,,,,
Eve,17,8,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,18,7,slow,,,,,,,,
Eve,18,9,slow,,,,,,,,
Eve,18,2,slow,,,,,,,,
Eve,18,3,slow,,,,,,,,
Eve,18,1,slow,,,,,,,,
Eve,18,5,slow,,,,,,,,
Eve,18,1,slow,,,,,,,,
Eve,18,3,slow,,,,,,,,
Eve,18,10,slow,,,,,,,,
Eve,18,4,slow,,,,,,,,
Eve,18,5,slow,,,,,,,,
Eve,18,7,slow,,,,,,,,
Eve,18,2,slow,,,,,,,,
Eve,18,1,slow,,,,,,,,
Eve,18,9,slow,,,,,,,,
Eve,18,6,slow,,,,,,,,
Eve,18,10,slow,,,,,,,,
Eve,18,4,slow,,,,,,,,
Eve,18,3,slow,,,,,,,,
